diem he 10,diem he 4
6.19,2.17
7.59,3.11
4.44,1.31
6.37,2.31
5.23,1.59
6.01,2.06
6.25,2.11
4.93,1.52
6.56,2.46
5.87,1.98
8.12,3.54
5.35,1.7
5.27,1.54
5.93,2.06
8.12,3.25
6.16,2.17
7.52,3
5.52,1.76
8.67,3.54
6.58,2.54
3.51,0.93
7.32,2.92
5.66,1.85
7.13,2.78
4.7,1.33
8.3,3.41
6.61,2.35
6.03,2.11
8.22,3.45
7.01,2.65
5.96,2.11
6.22,2.31
6.6,2.5
6.26,2.28
6.08,2.15
5.16,1.54
5.29,1.59
6.97,2.7
5.41,1.76
6.4,2.33
8.32,3.32
6.13,2.2
5.9,2.06
6.67,2.52
6.39,2.33
8.54,3.56
5.35,1.63
6.11,2.14
7.98,3.47
5.58,1.78
8.1,3.45
6.19,2.24
7.18,2.85
7.13,2.72
6.91,2.7
6.78,2.57
8.23,3.35
6.21,2.3
5.44,1.7
3.96,1.25
7.04,2.77
